ISO3	declared_cases	declared_percentage	sampled_cases	sampled_percentage	phylogenetic_diversity_cases	phylogenetic_diversity_percentage	genetic_diversity_cases	genetic_diversity_percentage
ARG	3423	0.13	3	0.03	3	0.15	3	0.15
AUS	6687	0.26	1049	9.31	12	0.59	7	0.36
AUT	15068	0.58	21	0.19	12	0.59	15	0.77
BEL	44293	1.7	387	3.44	34	1.68	40	2.06
BLR	8773	0.34	2	0.02	2	0.1	2	0.1
BRA	52995	2.03	48	0.43	43	2.13	41	2.11
CAN	43877	1.68	141	1.25	34	1.68	38	1.96
CHE	28595	1.1	72	0.64	22	1.09	28	1.44
CHL	12306	0.47	7	0.06	7	0.35	7	0.36
CHN	83899	3.21	365	3.24	268	13.25	84	4.32
COD	416	0.02	42	0.37	5	0.25	3	0.15
COL	4881	0.19	2	0.02	2	0.1	2	0.1
CZE	7273	0.28	26	0.23	6	0.3	7	0.36
DEU	152438	5.84	86	0.76	86	4.25	86	4.43
DNK	8210	0.31	321	2.85	6	0.3	8	0.41
DZA	3127	0.12	3	0.03	3	0.15	3	0.15
Diamond Princess	70	0.0	70	0.62	5	0.25	3	0.15
ECU	11183	0.43	4	0.04	4	0.2	4	0.21
ESP	208269	7.98	182	1.62	164	8.11	182	9.37
EST	1605	0.06	4	0.04	4	0.2	3	0.15
FIN	4395	0.17	40	0.36	5	0.25	4	0.21
FRA	122577	4.69	223	1.98	94	4.65	157	8.08
GBR	143464	5.49	3243	28.8	109	5.39	126	6.48
GEO	444	0.02	13	0.12	5	0.25	3	0.15
GHA	1279	0.05	6	0.05	5	0.25	3	0.15
GMB	10	0.0	3	0.03	3	0.15	3	0.15
GRC	2490	0.1	4	0.04	4	0.2	3	0.15
Grand Princess	25	0.0	25	0.22	5	0.25	3	0.15
HKG	62	0.0	62	0.55	12	0.59	3	0.15
HRV	2009	0.08	7	0.06	5	0.25	3	0.15
HUN	2443	0.09	3	0.03	3	0.15	3	0.15
IND	24506	0.94	35	0.31	19	0.94	19	0.98
IRL	18184	0.7	13	0.12	13	0.64	13	0.67
IRN	88194	3.38	1	0.01	1	0.05	1	0.05
ISL	1789	0.07	570	5.06	5	0.25	3	0.15
ISR	15058	0.58	2	0.02	2	0.1	2	0.1
ITA	192994	7.39	46	0.41	46	2.27	46	2.37
JOR	441	0.02	23	0.2	5	0.25	3	0.15
JPN	12892	0.49	31	0.28	11	0.54	11	0.57
KHM	122	0.0	1	0.01	1	0.05	1	0.05
KOR	10718	0.41	35	0.31	9	0.45	11	0.57
KWT	2614	0.1	7	0.06	5	0.25	3	0.15
LKA	420	0.02	4	0.04	4	0.2	3	0.15
LTU	1410	0.05	1	0.01	1	0.05	1	0.05
LUX	3695	0.14	199	1.77	5	0.25	4	0.21
LVA	784	0.03	10	0.09	5	0.25	3	0.15
MEX	12872	0.49	14	0.12	10	0.49	9	0.46
MYS	5691	0.22	8	0.07	5	0.25	6	0.31
NGA	1095	0.04	1	0.01	1	0.05	1	0.05
NLD	36535	1.4	551	4.89	28	1.38	34	1.75
NOR	7408	0.28	26	0.23	6	0.3	8	0.41
NPL	49	0.0	1	0.01	1	0.05	1	0.05
NZL	1117	0.04	8	0.07	5	0.25	3	0.15
PAK	11940	0.46	2	0.02	2	0.1	2	0.1
PER	21648	0.83	1	0.01	1	0.05	1	0.05
POL	10892	0.42	15	0.13	9	0.45	10	0.51
PRT	23271	0.89	100	0.89	18	0.89	21	1.08
QAT	8525	0.33	10	0.09	7	0.35	7	0.36
RUS	68622	2.63	151	1.34	52	2.57	48	2.47
SAU	15102	0.58	3	0.03	3	0.15	3	0.15
SEN	545	0.02	22	0.2	5	0.25	3	0.15
SGP	11178	0.43	74	0.66	10	0.49	9	0.46
SVK	1360	0.05	4	0.04	4	0.2	3	0.15
SVN	1373	0.05	4	0.04	4	0.2	3	0.15
SWE	17567	0.67	52	0.46	14	0.69	15	0.77
THA	2854	0.11	27	0.24	5	0.25	3	0.15
TUR	104912	4.02	29	0.26	29	1.43	29	1.49
TWN	428	0.02	68	0.6	8	0.4	3	0.15
URY	563	0.02	9	0.08	5	0.25	3	0.15
USA	890524	34.11	2626	23.32	676	33.43	710	36.54
VNM	270	0.01	8	0.07	5	0.25	3	0.15
ZAF	4220	0.16	6	0.05	5	0.25	4	0.21
